game_id,team1_id,team2_id,season,team1_seed,team2_seed,team1_position,team2_position,strongseed,weakseed,team1_region,team2_region,slot,host,host_lat,host_long,team1_teamname,team2_teamname,team1_coach_id,team1_coach_name,team1_pt_school_ncaa,team1_pt_overall_ncaa,team1_pt_school_s16,team1_pt_overall_s16,team1_pt_school_ff,team1_pt_overall_ff,team1_pt_career_school_wins,team1_pt_career_school_losses,team1_pt_career_overall_losses,team1_pt_team_season_wins,team1_pt_team_season_losses,team1_pt_coach_season_wins,team1_pt_coach_season_losses,team1_pt_career_overall_wins,team2_coach_id,team2_coach_name,team2_pt_school_ncaa,team2_pt_overall_ncaa,team2_pt_school_s16,team2_pt_overall_s16,team2_pt_school_ff,team2_pt_overall_ff,team2_pt_career_school_wins,team2_pt_career_school_losses,team2_pt_career_overall_losses,team2_pt_team_season_wins,team2_pt_team_season_losses,team2_pt_coach_season_wins,team2_pt_coach_season_losses,team2_pt_career_overall_wins,team1_fg2pct,team1_fg3pct,team1_ftpct,team1_blockpct,team1_oppfg2pct,team1_oppfg3pct,team1_oppftpct,team1_oppblockpct,team1_f3grate,team1_oppf3grate,team1_arate,team1_opparate,team1_stlrate,team1_oppstlrate,team2_fg2pct,team2_fg3pct,team2_ftpct,team2_blockpct,team2_oppfg2pct,team2_oppfg3pct,team2_oppftpct,team2_oppblockpct,team2_f3grate,team2_oppf3grate,team2_arate,team2_opparate,team2_stlrate,team2_oppstlrate,team1_tempo,team1_adjtempo,team1_oe,team1_adjoe,team1_de,team1_adjde,team2_tempo,team2_adjtempo,team2_oe,team2_adjoe,team2_de,team2_adjde,team1_lat,team1_long,team2_lat,team2_long,team1_coaches_preseason,team2_coaches_preseason,team1_coaches_before_final,team2_coaches_before_final,team1_ap_preseason,team2_ap_preseason,team1_ap_final,team2_ap_final,,team1_bpi,team2_bpi
2019-1181-1277,1181,1277,2019,1,2,W01,W02,1,2,W,W,R4W1,washington,38.9,-77.04,Duke,Michigan St,mike-krzyzewski-1,Mike Krzyzewski,34,34,24,24,12,12,1056,283,342,29,4,29,4,1129,tom-izzo-1,Tom Izzo,21,21,13,13,7,7,601,230,230,27,5,27,5,601,58.30258303,30.19559902,68.9747004,16.36107193,44.92242595,29.34926959,69.09788868,7.970479705,37.6438104,34.6844772,52.16972035,48.83449883,0.128026719,0.088266868,55.14018692,38.34269663,75,13.8996139,41.15830116,31.78191489,67.54385965,8.071367884,37.69190048,36.73668784,68.329718,52.33160622,0.077122794,0.093336109,73.6764,72.2812,113.184,120.204,91.745,88.2449,68.6506,67.6316,114.457,121.681,94.8722,90.5738,36.00159,-78.94226,42.72476,-84.473639,3,10,5,7,4,10,5,6,,21.7,19.7
2019-1181-1261,1181,1261,2019,1,3,W01,W03,1,3,W,W,R4W1,washington,38.9,-77.04,Duke,LSU,mike-krzyzewski-1,Mike Krzyzewski,34,34,24,24,12,12,1056,283,342,29,4,29,4,1129,will-wade-1,Will Wade,0,2,0,0,0,0,44,20,65,26,5,26,5,135,58.30258303,30.19559902,68.9747004,16.36107193,44.92242595,29.34926959,69.09788868,7.970479705,37.6438104,34.6844772,52.16972035,48.83449883,0.128026719,0.088266868,53.4309946,32.30088496,75.40322581,12.02090592,49.65156794,34.10326087,68.8372093,7.32459522,34.32911392,39.06581741,46.05263158,44.21437272,0.125518275,0.090580199,73.6764,72.2812,113.184,120.204,91.745,88.2449,70.5931,69.9424,112.474,118.62,100.645,97.6208,36.00159,-78.94226,30.414805,-91.169552,3,,5,9,4,23,5,9,,21.7,12.9
2019-1181-1439,1181,1439,2019,1,4,W01,W04,1,4,W,W,R3W1,washington,38.9,-77.04,Duke,Virginia Tech,mike-krzyzewski-1,Mike Krzyzewski,34,34,24,24,12,12,1056,283,342,29,4,29,4,1129,buzz-williams-1,Buzz Williams,2,7,0,3,0,0,98,67,153,24,7,24,7,251,58.30258303,30.19559902,68.9747004,16.36107193,44.92242595,29.34926959,69.09788868,7.970479705,37.6438104,34.6844772,52.16972035,48.83449883,0.128026719,0.088266868,54.19287212,39.40949936,75.77981651,8.726415094,47.99528302,33.17702227,72.16035635,9.853249476,44.95095211,50.14697237,59.58737864,56.37681159,0.102671632,0.078088283,73.6764,72.2812,113.184,120.204,91.745,88.2449,64.36,63.3196,114.004,118.551,95.6855,94.0834,36.00159,-78.94226,37.237477,-80.434849,3,17,5,15,4,15,5,16,,21.7,16.6
2019-1181-1280,1181,1280,2019,1,5,W01,W05,1,5,W,W,R3W1,washington,38.9,-77.04,Duke,Mississippi St,mike-krzyzewski-1,Mike Krzyzewski,34,34,24,24,12,12,1056,283,342,29,4,29,4,1129,ben-howland-1,Ben Howland,0,10,0,5,0,3,78,54,262,23,9,23,9,477,58.30258303,30.19559902,68.9747004,16.36107193,44.92242595,29.34926959,69.09788868,7.970479705,37.6438104,34.6844772,52.16972035,48.83449883,0.128026719,0.088266868,53.22580645,37.76595745,71.47435897,13.64392679,48.50249584,35.28550512,71.18927973,10.27164686,38.96373057,36.23342175,52.03073546,50.12135922,0.117131592,0.085545545,73.6764,72.2812,113.184,120.204,91.745,88.2449,68.5278,67.4913,111.932,117.496,101.401,96.8328,36.00159,-78.94226,33.425002,-88.879658,3,19,5,,4,18,5,,,21.7,13
2019-1181-1268,1181,1268,2019,1,6,W01,W06,1,6,W,W,R4W1,washington,38.9,-77.04,Duke,Maryland,mike-krzyzewski-1,Mike Krzyzewski,34,34,24,24,12,12,1056,283,342,29,4,29,4,1129,mark-turgeon-1,Mark Turgeon,3,8,1,2,0,0,179,90,249,22,9,22,9,429,58.30258303,30.19559902,68.9747004,16.36107193,44.92242595,29.34926959,69.09788868,7.970479705,37.6438104,34.6844772,52.16972035,48.83449883,0.128026719,0.088266868,51.33928571,35.31202435,74.82876712,13.36851363,44.67897977,31.97831978,71.8875502,9.821428571,36.97242544,39.36,52.41635688,52.01612903,0.065535897,0.107497731,73.6764,72.2812,113.184,120.204,91.745,88.2449,66.2805,65.6956,107.334,113.946,98.4651,93.966,36.00159,-78.94226,38.988607,-76.939704,3,,5,21,4,,5,21,,21.7,12.1
2019-1181-1257,1181,1257,2019,1,7,W01,W07,1,7,W,W,R4W1,washington,38.9,-77.04,Duke,Louisville,mike-krzyzewski-1,Mike Krzyzewski,34,34,24,24,12,12,1056,283,342,29,4,29,4,1129,chris-mack-1,Chris Mack,0,8,0,4,0,0,20,12,109,20,12,20,12,235,58.30258303,30.19559902,68.9747004,16.36107193,44.92242595,29.34926959,69.09788868,7.970479705,37.6438104,34.6844772,52.16972035,48.83449883,0.128026719,0.088266868,50.55865922,34.17266187,77.46268657,8.048780488,45.69105691,31.71070932,69.69205835,10.61452514,43.71069182,36.89071319,53.38164251,48.35443038,0.06407567,0.08412656,73.6764,72.2812,113.184,120.204,91.745,88.2449,68.4904,67.195,107.243,113.503,97.6744,92.4983,36.00159,-78.94226,38.215752,-85.758843,3,,5,,4,,5,,,21.7,13.8
2019-1181-1433,1181,1433,2019,1,8,W01,W08,1,8,W,W,R2W1,columbia,34,81.03,Duke,VA Commonwealth,mike-krzyzewski-1,Mike Krzyzewski,34,34,24,24,12,12,1056,283,342,29,4,29,4,1129,mike-rhoades-1,Mike Rhoades,0,0,0,0,0,0,43,21,73,25,6,25,6,90,58.30258303,30.19559902,68.9747004,16.36107193,44.92242595,29.34926959,69.09788868,7.970479705,37.6438104,34.6844772,52.16972035,48.83449883,0.128026719,0.088266868,53.65853659,30.73825503,69.78527607,12.34042553,43.82978723,27.62711864,68.90243902,7.598499062,41.1374931,33.42776204,55.43071161,51.03244838,0.114624772,0.092598836,73.6764,72.2812,113.184,120.204,91.745,88.2449,68.9655,68.2479,102.78,104.427,88.5061,88.741,36.00159,-78.94226,37.547631,-77.453597,3,,5,,4,,5,,,21.7,10.4
2019-1181-1416,1181,1416,2019,1,9,W01,W09,1,9,W,W,R2W1,columbia,34,81.03,Duke,UCF,mike-krzyzewski-1,Mike Krzyzewski,34,34,24,24,12,12,1056,283,342,29,4,29,4,1129,johnny-dawkins-1,Johnny Dawkins,0,1,0,1,0,0,66,32,147,23,7,23,7,222,58.30258303,30.19559902,68.9747004,16.36107193,44.92242595,29.34926959,69.09788868,7.970479705,37.6438104,34.6844772,52.16972035,48.83449883,0.128026719,0.088266868,52.46212121,35.40268456,64.53715776,12.44404655,44.58370636,31.31313131,64.55223881,8.143939394,36.07748184,38.28729282,53.7254902,54.26573427,0.085291422,0.083374761,73.6764,72.2812,113.184,120.204,91.745,88.2449,67.106,64.8462,107.069,110.45,95.5875,95.8589,36.00159,-78.94226,28.60106,-81.198805,3,,5,,4,,5,,,21.7,9.6
2019-1181-1278,1181,1278,2019,1,10,W01,W10,1,10,W,W,R4W1,washington,38.9,-77.04,Duke,Minnesota,mike-krzyzewski-1,Mike Krzyzewski,34,34,24,24,12,12,1056,283,342,29,4,29,4,1129,richard-pitino-1,Richard Pitino,1,1,0,0,0,0,111,90,104,21,12,21,12,129,58.30258303,30.19559902,68.9747004,16.36107193,44.92242595,29.34926959,69.09788868,7.970479705,37.6438104,34.6844772,52.16972035,48.83449883,0.128026719,0.088266868,48.39181287,32.1299639,67.94554455,10.25641026,48.26546003,33.8781575,68.55123675,11.18421053,28.82414152,33.66683342,60.23809524,50.23041475,0.070279068,0.087525465,73.6764,72.2812,113.184,120.204,91.745,88.2449,67.9778,67.5056,103.298,110.803,101.467,96.3335,36.00159,-78.94226,44.977886,-93.235352,3,,5,,4,,5,,,21.7,8
2019-1181-1125,1181,1125,2019,1,11,W01,W11a,1,11,W,W,R4W1,washington,38.9,-77.04,Duke,Belmont,mike-krzyzewski-1,Mike Krzyzewski,34,34,24,24,12,12,1056,283,342,29,4,29,4,1129,rick-byrd-1,Rick Byrd,7,7,0,0,0,0,414,218,218,26,4,26,4,414,58.30258303,30.19559902,68.9747004,16.36107193,44.92242595,29.34926959,69.09788868,7.970479705,37.6438104,34.6844772,52.16972035,48.83449883,0.128026719,0.088266868,59.4972067,37.11217184,73.55679702,9.127301841,47.23779023,34.6907994,69.81132075,10.33519553,43.82845188,34.67573222,61.89473684,44.51219512,0.089030844,0.082798685,73.6764,72.2812,113.184,120.204,91.745,88.2449,74.2457,71.1915,116.393,114.952,99.6691,101.886,36.00159,-78.94226,36.133866,-86.794715,3,,5,,4,,5,,,21.7,9
